,Negotiated wages including,Negotiated wages excluding,HICP overall index,Price trends over next 12 months,Economic sentiment ,Unemployment expectation over the next 12 months,Unemployment rate,Industrial production
,STS.M.DE.N.INWR.000000.2.ANR,STS.M.DE.N.INWX.000000.2.ANR,ICP.M.DE.Y.000000.3.ERX,ECS.M.DE.S.4D1.CNS006.TT,ECS.M.DE.S.4D1.ESI000.TT,ECS.M.DE.S.4D1.CNS007.TT,LFSI.M.DE.S.UNEHRT.TOTAL0.15_74.T,STS.M.DE.Y.PROD.NS0020.3.000
1980Feb,,,50.15,,101.1,,,63.01
1980Jan,,,49.53,,101.8,,,64.27
1979Dec,,,,,,,,64.02
1979Nov,,,,,,,,64.01
1979Oct,,,,,,,,63.58
1979Sep,,,,,,,,62.87
1979Aug,,,,,,,,62.94
1979Jul,,,,,,,,63.29
1979Jun,,,,,,,,63.35
1979May,,,,,,,,62.67
1979Apr,,,,,,,,62.55
1979Mar,,,,,,,,61.65
1979Feb,,,,,,,,61.93
1979Jan,,,,,,,,61.01
1978Dec,,,,,,,,61.49
1978Nov,,,,,,,,60.5
1978Oct,,,,,,,,60.67
1978Sep,,,,,,,,61.45
1978Aug,,,,,,,,60.48
1978Jul,,,,,,,,59.48
1978Jun,,,,,,,,58.87
1978May,,,,,,,,59.09
1978Apr,,,,,,,,58.6
1978Mar,,,,,,,,58.63
1978Feb,,,,,,,,59.69
1978Jan,,,,,,,,60.44
1977Dec,,,,,,,,61
1977Nov,,,,,,,,60.14
1977Oct,,,,,,,,59.52
1977Sep,,,,,,,,59.62
1977Aug,,,,,,,,58.97
1977Jul,,,,,,,,58.87
1977Jun,,,,,,,,60.95
1977May,,,,,,,,60.79
1977Apr,,,,,,,,61.41
1977Mar,,,,,,,,59.73
1977Feb,,,,,,,,59.94
1977Jan,,,,,,,,60.07
1976Dec,,,,,,,,58.02
1976Nov,,,,,,,,59.09
1976Oct,,,,,,,,59.59
1976Sep,,,,,,,,58.99
1976Aug,,,,,,,,58.65
1976Jul,,,,,,,,58.19
1976Jun,,,,,,,,59.75
1976May,,,,,,,,59.6
1976Apr,,,,,,,,58.6
1976Mar,,,,,,,,56.9
1976Feb,,,,,,,,58.25
1976Jan,,,,,,,,57.05
1975Dec,,,,,,,,56.44
1975Nov,,,,,,,,56.66
1975Oct,,,,,,,,54.75
1975Sep,,,,,,,,53.98
1975Aug,,,,,,,,55.12
1975Jul,,,,,,,,53.03
1975Jun,,,,,,,,53.88
1975May,,,,,,,,56.02
1975Apr,,,,,,,,52.61
1975Mar,,,,,,,,57.23
1975Feb,,,,,,,,54.2
1975Jan,,,,,,,,54.28
1974Dec,,,,,,,,55.43
1974Nov,,,,,,,,57.15
1974Oct,,,,,,,,56.97
1974Sep,,,,,,,,57.84
1974Aug,,,,,,,,57.78
1974Jul,,,,,,,,59.43
1974Jun,,,,,,,,61.85
1974May,,,,,,,,59.13
1974Apr,,,,,,,,58.81
1974Mar,,,,,,,,59.61
1974Feb,,,,,,,,59.13
1974Jan,,,,,,,,59.12
1973Dec,,,,,,,,61.83
1973Nov,,,,,,,,59.44
1973Oct,,,,,,,,59.27
1973Sep,,,,,,,,61.13
1973Aug,,,,,,,,60.06
1973Jul,,,,,,,,57.6
1973Jun,,,,,,,,59.99
1973May,,,,,,,,58.82
1973Apr,,,,,,,,59.57
1973Mar,,,,,,,,58.68
1973Feb,,,,,,,,59.72
1973Jan,,,,,,,,58.22
1972Dec,,,,,,,,59.01
1972Nov,,,,,,,,57.14
1972Oct,,,,,,,,56.81
1972Sep,,,,,,,,56.06
1972Aug,,,,,,,,55.4
1972Jul,,,,,,,,56.55
1972Jun,,,,,,,,54.81
1972May,,,,,,,,55.3
1972Apr,,,,,,,,56.07
1972Mar,,,,,,,,55.21
1972Feb,,,,,,,,53.78
1972Jan,,,,,,,,55.14
1971Dec,,,,,,,,50.47
1971Nov,,,,,,,,53.42
1971Oct,,,,,,,,55.3
1971Sep,,,,,,,,54.01
1971Aug,,,,,,,,53.01
1971Jul,,,,,,,,55.03
1971Jun,,,,,,,,54.3
1971May,,,,,,,,54.62
1971Apr,,,,,,,,54.12
1971Mar,,,,,,,,53.06
1971Feb,,,,,,,,54.35
1971Jan,,,,,,,,56.31
1970Dec,,,,,,,,53.07
1970Nov,,,,,,,,53.11
1970Oct,,,,,,,,53.77
1970Sep,,,,,,,,53.02
1970Aug,,,,,,,,53.79
1970Jul,,,,,,,,53.65
1970Jun,,,,,,,,52.96
1970May,,,,,,,,56.67
1970Apr,,,,,,,,52.02
1970Mar,,,,,,,,54.17
1970Feb,,,,,,,,53.15
1970Jan,,,,,,,,52.84
1969Dec,,,,,,,,52.36
1969Nov,,,,,,,,53.14
1969Oct,,,,,,,,51.37
1969Sep,,,,,,,,50.57
1969Aug,,,,,,,,51.5
1969Jul,,,,,,,,49.49
1969Jun,,,,,,,,50.63
1969May,,,,,,,,49.84
1969Apr,,,,,,,,48.71
1969Mar,,,,,,,,48.6
1969Feb,,,,,,,,48.39
1969Jan,,,,,,,,47.94
1968Dec,,,,,,,,48.13
1968Nov,,,,,,,,47.6
1968Oct,,,,,,,,45.57
1968Sep,,,,,,,,46.12
1968Aug,,,,,,,,46.22
1968Jul,,,,,,,,43.38
1968Jun,,,,,,,,46.15
1968May,,,,,,,,42.8
1968Apr,,,,,,,,42.44
1968Mar,,,,,,,,42.27
1968Feb,,,,,,,,41.13
1968Jan,,,,,,,,40.8
1967Dec,,,,,,,,43.79
1967Nov,,,,,,,,40.39
1967Oct,,,,,,,,40.51
1967Sep,,,,,,,,40.23
1967Aug,,,,,,,,38.65
1967Jul,,,,,,,,40.21
1967Jun,,,,,,,,38.02
1967May,,,,,,,,38.46
1967Apr,,,,,,,,38.48
1967Mar,,,,,,,,38.45
1967Feb,,,,,,,,38.53
1967Jan,,,,,,,,38.79
1966Dec,,,,,,,,39.17
1966Nov,,,,,,,,39.13
1966Oct,,,,,,,,40.28
1966Sep,,,,,,,,40.07
1966Aug,,,,,,,,39.66
1966Jul,,,,,,,,41.25
1966Jun,,,,,,,,41.08
1966May,,,,,,,,40.81
1966Apr,,,,,,,,41.28
1966Mar,,,,,,,,40.85
1966Feb,,,,,,,,40.5
1966Jan,,,,,,,,41.06
1965Dec,,,,,,,,39.75
1965Nov,,,,,,,,39.94
1965Oct,,,,,,,,40.01
1965Sep,,,,,,,,39.92
1965Aug,,,,,,,,39.74
1965Jul,,,,,,,,39.48
1965Jun,,,,,,,,39.69
1965May,,,,,,,,39.93
1965Apr,,,,,,,,39.61
1965Mar,,,,,,,,38.58
1965Feb,,,,,,,,39.66
1965Jan,,,,,,,,40.83
1964Dec,,,,,,,,38.85
1964Nov,,,,,,,,38.58
1964Oct,,,,,,,,38.64
1964Sep,,,,,,,,37.71
1964Aug,,,,,,,,37.99
1964Jul,,,,,,,,37.85
1964Jun,,,,,,,,36.97
1964May,,,,,,,,38.87
1964Apr,,,,,,,,36.66
1964Mar,,,,,,,,36.72
1964Feb,,,,,,,,36.76
1964Jan,,,,,,,,36.43
1963Dec,,,,,,,,35.95
1963Nov,,,,,,,,36.35
1963Oct,,,,,,,,35.51
1963Sep,,,,,,,,35.33
1963Aug,,,,,,,,35.5
1963Jul,,,,,,,,34.48
1963Jun,,,,,,,,36.08
1963May,,,,,,,,34
1963Apr,,,,,,,,34.06
1963Mar,,,,,,,,34.3
1963Feb,,,,,,,,32.62
1963Jan,,,,,,,,33.26
1962Dec,,,,,,,,35.1
1962Nov,,,,,,,,34.19
1962Oct,,,,,,,,33.73
1962Sep,,,,,,,,34.48
1962Aug,,,,,,,,33.94
1962Jul,,,,,,,,33.56
1962Jun,,,,,,,,33.86
1962May,,,,,,,,33.55
1962Apr,,,,,,,,33.11
1962Mar,,,,,,,,32.56
1962Feb,,,,,,,,33.08
1962Jan,,,,,,,,32.76
1961Dec,,,,,,,,33.23
1961Nov,,,,,,,,32.21
1961Oct,,,,,,,,32.2
1961Sep,,,,,,,,32.38
1961Aug,,,,,,,,32.39
1961Jul,,,,,,,,32.48
1961Jun,,,,,,,,31.16
1961May,,,,,,,,32.16
1961Apr,,,,,,,,32.3
1961Mar,,,,,,,,32.81
1961Feb,,,,,,,,32.21
1961Jan,,,,,,,,32.23
1960Dec,,,,,,,,31.78
1960Nov,,,,,,,,31.15
1960Oct,,,,,,,,31.49
1960Sep,,,,,,,,30.58
1960Aug,,,,,,,,30.63
1960Jul,,,,,,,,30.93
1960Jun,,,,,,,,30.12
1960May,,,,,,,,30
1960Apr,,,,,,,,29.94
1960Mar,,,,,,,,29.17
1960Feb,,,,,,,,28.75
1960Jan,,,,,,,,30.02
